normalized_radius,true_elevation_m,estimated_elevation_m
0.98750000,0.1269059961,0.1294772889
0.99000000,0.1270491130,0.1295405560
0.99250000,0.1271922298,0.1296038232
0.99500000,0.1273353467,0.1296670904
0.99750000,0.1274784635,0.1297303576
1.00000000,0.1276215804,0.1297936247
1.00250000,0.1276816422,0.1297845978
1.00500000,0.1272555278,0.1293523856
1.00750000,0.1268294135,0.1289201734
1.01000000,0.1264032992,0.1284879613
1.01250000,0.1259771849,0.1280557491
1.01500000,0.1255510706,0.1276235369
1.01750000,0.1251249562,0.1271913248
1.02000000,0.1246988419,0.1267591126
1.02250000,0.1242727276,0.1263269004
1.02500000,0.1238466133,0.1258946883
1.02750000,0.1234204990,0.1254624761
1.03000000,0.1229943846,0.1250302639
1.03250000,0.1225682703,0.1245980518
1.03500000,0.1221421560,0.1241658396
1.03750000,0.1217160417,0.1237336274
1.04000000,0.1212899274,0.1233014153
1.04250000,0.1208638130,0.1228692031
1.04500000,0.1204376987,0.1224369909
1.04750000,0.1200115844,0.1220047788
1.05000000,0.1192933973,0.1212232052
1.05250000,0.1185516198,0.1204134140
1.05500000,0.1178098422,0.1196036228
1.05750000,0.1170680647,0.1187938316
1.06000000,0.1163262871,0.1179840404
1.06250000,0.1155845096,0.1171742491
1.06500000,0.1148427320,0.1163644579
1.06750000,0.1141009545,0.1155546667
1.07000000,0.1133591769,0.1147448755
1.07250000,0.1126173994,0.1139350843
1.07500000,0.1118756218,0.1131252931
1.07750000,0.1111338443,0.1123155019
1.08000000,0.1103920667,0.1115057106
1.08250000,0.1096502892,0.1106959194
1.08500000,0.1089085116,0.1098861282
1.08750000,0.1081667341,0.1090763370
1.09000000,0.1074249565,0.1082665458
1.09250000,0.1066831790,0.1074567546
1.09500000,0.1057997786,0.1065413828
1.09750000,0.1048570111,0.1055817524
1.10000000,0.1039142436,0.1046221221
1.10250000,0.1029714761,0.1036624917
1.10500000,0.1020287086,0.1027028614
1.10750000,0.1010859411,0.1017432310
1.11000000,0.1001431736,0.1007836007
1.11250000,0.0992004061,0.0998239703
1.11500000,0.0982576385,0.0988643400
1.11750000,0.0973148710,0.0979047096
1.12000000,0.0963721035,0.0969450793
1.12250000,0.0954293360,0.0959854490
1.12500000,0.0944865685,0.0950258186
1.12750000,0.0935438010,0.0940661883
1.13000000,0.0926010335,0.0931065579
1.13250000,0.0916582660,0.0921469276
1.13500000,0.0907154985,0.0911872972
1.13750000,0.0897727310,0.0902276669
